name,description,category_id,level,lottery,created_at,updated_at
4F Sport,"4F to firma produkująca wysokiej klasy odzież i akcesoria sportowe. 4F działa na rynkach polskim i zagranicznym, a wysoka jakość za przystępną cenę oraz stale poszerzany asortyment to atrybuty, dzięki którym firma bez kompleksów konkuruje jakością i wzornictwem ze światowymi gigantami.

4F promuje aktywny tryb życia i od lat współpracuje z Polskim Komitetem Olimpijskim, Polskim Związkiem Narciarskim oraz Polskim Związkiem Biathlonowym. Firma wspiera sportowe talenty i  towarzyszy im w kolejnych sportowych wyzwaniach. Jesteśmy głównym sponsorem Kamila Stocha, wieloletnia współpraca z Adamem Małyszem, zaowocowała kolekcją ubrań, sygnowaną jego nazwiskiem. \""4F jest marką ludzi aktywnych, czerpiących radość z dążenia do celów, które sami sobie wyznaczają\"" mówi Igor Klaja, prezes 4F.",11,0,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:32.831310 +01:00
5.10.15,"Marka 5.10.15 kocha i rozumie dzieci. Tworzy dla nich przyjazny świat pełen kolorów i zabawy, by mogły wykorzystać drzemiący w nich potencjał rozwoju. W salonie 5.10.15 ubierzesz dziecko od „stóp do głów”! Firma  proponuje modne i wygodne ubranka dla niemowlaków, małych i dużych dzieci. Produkty są dobrze zaprojektowane i starannie uszyte tak, aby spełniały oczekiwania najmłodszych i ich rodziców. Sprawdzają się zarówno na co dzień jak i podczas rodzinnych uroczystości. Firma istnieje na rynku od ponad 20 lat i jest jedną z najbardziej rozpoznawalnych marek wśród odzieży dziecięcej. Posiada 230 sklepów w kraju i zagranicą. ",2,0,false,2014-09-30 13:50:36.855000,2014-11-26 12:27:38.341338 +01:00
5á Sec,Ekologiczna pralnia chemiczna. Dzięki zastosowaniu nowoczesnych technologii światowych można wyczyścić każdy rodzaj odzieży w zaledwie 90 minut. Doskonała jakość usług.,12,1,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:34.081351 +01:00
Adidas Reebok,"\""Liczy się każdy sportowiec\"". Wierzył w to Adi Dassler założyciel i  współtwórca firmy Adidas. W słowa te, wierzymy również MY ludzie pasji tworzący dziś markę Adidas. Każdy sportowiec zasługuje na uwagę dlatego nigdy nie ustaniemy w wysiłkach by pomagać im biegać szybciej, lądować łagodniej, nie mieć obciążeń lub po prostu czuć się bardziej komfortowo niezależnie od tego gdzie, kiedy i jaki sport jest uprawiany.

Nasza historia zaczęła się już w 1924 kiedy to bracia Dassler zdecydowali się założyć firmę produkująca obuwie i odzież sportową. Ich pasja, namiętność do przekraczania limitów niemożliwego - jest z nami obecna do dziś. Dlatego wszystko co tworzymy, robimy z myślą o sporcie. Z myślą o Tobie!",11,0,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:32.840252 +01:00
Akwarium,,4,3,false,2014-09-30 13:50:36.855000,2014-11-26 12:27:34.756461 +01:00
Alior Bank Express,"W Alior Banku zawsze staramy się być bliżej potrzeb naszych Klientów. Placówka Alior Bank Express to miejsce, w którym szybko załatwisz swoje podstawowe finansowe sprawy: za darmo opłacisz wszystkie rachunki i skorzystasz z najpopularniejszych produktów Alior Banku. Zapraszamy!
Placówka czynna w godzinach:
1) Od poniedziałku do piątku od 9:00 do 20:00 (obsługa kasowa w godzinach 9:00 – 20:00)
2) W soboty: od 9:00 do 20:00 (obsługa kasowa od 9:00 do 16:00)
3) W niedziele: od 10:00 – do 18:00 (brak obsługi kasowej)  ",12,1,,2014-09-30 13:50:36.855000,2014-11-26 12:27:38.151184 +01:00
Allplay,,8,0,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:35.692859 +01:00
Alpenpark,"Asortyment sklepu Alpenpark w Kielcach przeznaczony jest dla osób, które aktywnie spędzają czas oraz cenią wygodę sportowego stylu w mieście. Tutaj, w miłej atmosferze, między regałami i na wieszakach znajdą coś dla siebie zarówno miłośnicy przemierzania górskich szlaków, jak i amatorzy turystyki rowerowej. W sezonie zimowym nie zabraknie propozycji dla tych, którym minusowe temperatury nie stoją na przeszkodzie w uprawianiu aktywności outdoorowych. Naszym Klientom proponujemy starannie wyselekcjonowany asortyment – najlepszy pod względem parametrów, funkcjonalności i designu.
",11,0,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:34.826270 +01:00
Americanos Pepe Jeans,"Nazwa AMERICANOS zrodziła się poprzez skojarzenie pochodzenia dżinsu, sięgając w swym brzmieniu do najstarszych tradycji i amerykańskich korzeni denimowej odzieży. Firma AMERICANOS zalicza się do kategorii jeanswear, charakteryzuje się wyraźnym stylem, wyróżniającym ją spośród pozostałych marek tej kategorii. Firma dba o to, aby bogata oferta produktów o modnym, prowokacyjnym i awangardowym stylu sprawiała, że AMERICANOS wygląda niestandardowo na tle konkurencji.
W ofercie sklepu znaleźć można kurtki, spodnie, koszule, bluzy, t-shirty, swetry, spódnice i wiele akcesoriów.",7,1,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:36.742167 +01:00
Answear,"ANSWEAR.com to już ponad 150 najbardziej pożądanych marek świata! Największy w Polsce modowy sklep internetowy i salony, w których ofercie znalazły się m.in. Scotch and Soda, Tommy Hilfiger, Hilfiger Denim, Pepe Jeans, Diesel, G-Star Raw, Fornarina, Replay, French Connection, Miss Sixty, Superdry, Ben Sherman, Khujo, Emu i wiele, wiele innych.  ",7,2,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:32.856231 +01:00
Apart,"Firma APART posiada największą sieć salonów jubilerskich w Polsce. W naszych
salonach oferujemy Państwu szeroki wybór biżuterii platynowej, złotej z
brylantami, a także złotej i srebrnej oraz zegarki najlepszych światowych
marek.

To właśnie biżuteria firmy APART najlepiej podkreśli urok i klasę każdego
stroju. Każdy znajdzie u nas piękny drobiazg dla siebie oraz wyjątkowy
prezent dla swoich najbliższych.
",1,1,false,2014-09-30 13:50:36.855000,2014-11-26 12:27:35.666588 +01:00
Apart Exclusive,"Firma APART posiada największą sieć salonów jubilerskich w Polsce. W naszych
salonach oferujemy Państwu szeroki wybór biżuterii platynowej, złotej z
brylantami, a także złotej i srebrnej oraz zegarki najlepszych światowych
marek.

To właśnie biżuteria firmy APART najlepiej podkreśli urok i klasę każdego
stroju. Każdy znajdzie u nas piękny drobiazg dla siebie oraz wyjątkowy
prezent dla swoich najbliższych.",1,1,false,2014-09-30 13:50:36.855000,2014-11-26 12:27:35.076423 +01:00
Aryton,"Aryton, to polska marka odzieżowa, która już prawie od 20 lat tworzy kolekcje dla nowoczesnych kobiet ceniących sobie luksus, komfort oraz elegancję.
Nasze klientki to wymagające, pewne siebie kobiety, które oczekują od nas niepowtarzalności, subtelnego wyczucia obowiązującej mody.
Klientki Arytonu często podróżują dlatego cenią sobie komfort oraz swobodę. Nie tylko wyrażają to swoją osobowością ale również stylem ubioru. Jako, że często bywają na spotkaniach biznesowych, konferencjach oraz podróżach służbowych muszą wyglądać pięknie i czuć się komfortowo.
Aryton interpretuje piękno kobiety głównie jako wyraz jej osobowości, a nie powierzchowności. ",7,1,true,2014-09-30 13:50:36.855000,2014-11-26 12:27:32.865338 +01:00
